glyph_name,ps_name,sort_final
.notdef,.notdef,1
.null,.null,2
nonmarkingreturn,nonmarkingreturn,3
space,space,4
exclam,exclam,5
exclam.alt,exclam.alt,6
quotedbl,quotedbl,7
numbersign,numbersign,8
dollar,dollar,9
percent,percent,10
ampersand,ampersand,11
quotesingle,quotesingle,12
parenleft,parenleft,13
parenright,parenright,14
asterisk,asterisk,15
plus,plus,16
comma,comma,17
hyphen,hyphen,18
period,period,19
slash,slash,20
zero,zero,21
one,one,22
two,two,23
three,three,24
four,four,25
five,five,26
six,six,27
seven,seven,28
eight,eight,29
nine,nine,30
colon,colon,31
semicolon,semicolon,32
less,less,33
equal,equal,34
greater,greater,35
question,question,36
question.alt,question.alt,37
at,at,38
A,A,39
B,B,40
C,C,41
D,D,42
E,E,43
F,F,44
G,G,45
H,H,46
I,I,47
J,J,48
K,K,49
L,L,50
M,M,51
N,N,52
O,O,53
P,P,54
Q,Q,55
R,R,56
S,S,57
T,T,58
U,U,59
V,V,60
W,W,61
X,X,62
Y,Y,63
Z,Z,64
bracketleft,bracketleft,65
backslash,backslash,66
bracketright,bracketright,67
asciicircum,asciicircum,68
underscore,underscore,69
grave,grave,70
a,a,71
b,b,72
c,c,73
d,d,74
e,e,75
f,f,76
g,g,77
h,h,78
i,i,79
j,j,80
k,k,81
l,l,82
m,m,83
n,n,84
o,o,85
p,p,86
q,q,87
r,r,88
s,s,89
t,t,90
u,u,91
v,v,92
w,w,93
x,x,94
y,y,95
z,z,96
braceleft,braceleft,97
bar,bar,98
braceright,braceright,99
asciitilde,asciitilde,100
nbspace,uni00A0,101
exclamdown,exclamdown,102
cent,cent,103
sterling,sterling,104
currency,currency,105
yen,yen,106
brokenbar,brokenbar,107
section,section,108
dieresis,dieresis,109
copyright,copyright,110
ordfeminine,ordfeminine,111
guillemotleft,guillemotleft,112
logicalnot,logicalnot,113
softhyphen,uni00AD,114
RegisteredSgn,registered,115
macron,macron,116
degree,degree,117
plusminus,plusminus,118
twosuperior,twosuperior,119
threesuperior,threesuperior,120
acute,acute,121
mu,mu,122
paragraph,paragraph,123
periodcentered,periodcentered,124
cedilla,cedilla,125
onesuperior,onesuperior,126
ordmasculine,ordmasculine,127
guillemotright,guillemotright,128
onequarter,onequarter,129
onehalf,onehalf,130
threequarters,threequarters,131
questiondown,questiondown,132
Agrave,Agrave,133
Aacute,Aacute,134
Acircumflex,Acircumflex,135
Atilde,Atilde,136
Adieresis,Adieresis,137
Aring,Aring,138
AE,AE,139
Ccedilla,Ccedilla,140
Egrave,Egrave,141
Eacute,Eacute,142
Ecircumflex,Ecircumflex,143
Edieresis,Edieresis,144
Igrave,Igrave,145
Iacute,Iacute,146
Icircumflex,Icircumflex,147
Idieresis,Idieresis,148
Eth,Eth,149
Ntilde,Ntilde,150
Ograve,Ograve,151
Oacute,Oacute,152
Ocircumflex,Ocircumflex,153
Otilde,Otilde,154
Odieresis,Odieresis,155
multiply,multiply,156
Oslash,Oslash,157
Ugrave,Ugrave,158
Uacute,Uacute,159
Ucircumflex,Ucircumflex,160
Udieresis,Udieresis,161
Yacute,Yacute,162
Thorn,Thorn,163
LtnSmSharpS,germandbls,164
agrave,agrave,165
aacute,aacute,166
acircumflex,acircumflex,167
atilde,atilde,168
adieresis,adieresis,169
aring,aring,170
ae,ae,171
ccedilla,ccedilla,172
egrave,egrave,173
eacute,eacute,174
ecircumflex,ecircumflex,175
edieresis,edieresis,176
igrave,igrave,177
iacute,iacute,178
icircumflex,icircumflex,179
idieresis,idieresis,180
eth,eth,181
ntilde,ntilde,182
ograve,ograve,183
oacute,oacute,184
ocircumflex,ocircumflex,185
otilde,otilde,186
odieresis,odieresis,187
divide,divide,188
oslash,oslash,189
ugrave,ugrave,190
uacute,uacute,191
ucircumflex,ucircumflex,192
udieresis,udieresis,193
yacute,yacute,194
thorn,thorn,195
ydieresis,ydieresis,196
amacron,amacron,197
emacron,emacron,198
itilde,itilde,199
imacron,imacron,200
dotlessi,dotlessi,201
eng,eng,202
omacron,omacron,203
OE,OE,204
oe,oe,205
Scaron,Scaron,206
scaron,scaron,207
utilde,utilde,208
umacron,umacron,209
Ydieresis,Ydieresis,210
LtnCapZCaron,Zcaron,211
LtnSmZCaron,zcaron,212
florin,florin,213
ascript,uni0251,214
cturn,uni0254,215
ccurl,uni0255,216
drthook,uni0256,217
schwa,uni0259,218
epsilonlatin,uni025B,219
Ismallcap,uni026A,220
nlftlfthook,uni0272,221
nrthook,uni0273,222
srthook,uni0282,223
trthook,uni0288,224
upsilonlatin,uni028A,225
vturn,uni028C,226
zcurl,uni0291,227
glottalstop,uni0294,228
hsuper,uni02B0,229
apostrophe,uni02BC,230
circumflex,circumflex,231
caron,caron,232
modifiermacron,uni02C9,233
length,uni02D0,234
breve,breve,235
dotaccent,dotaccent,236
ring,ring,237
ogonek,ogonek,238
tilde,tilde,239
hungarumlaut,hungarumlaut,240
gravenosp,gravecomb,241
acutenosp,acutecomb,242
circumflexnosp,uni0302,243
tildenosp,tildecomb,244
macronnosp,uni0304,245
CombOverline,uni0305,246
brevenosp,uni0306,247
dotnosp,uni0307,248
dieresisnosp,uni0308,249
CombRingAbv,uni030A,250
haceknosp,uni030C,251
candrabinducomb,uni0310,252
dotsubnosp,dotbelowcomb,253
ringsubnosp,uni0325,254
CombCedilla,uni0327,255
cgj,uni034F,256
pi,pi,257
etilde,uni1EBD,258
amacrontilde,a_uni0304_uni0303,259
emacrontilde,e_uni0304_uni0303,260
imacrontilde,i_uni0304_uni0303,261
omacrontilde,o_uni0304_uni0303,262
umacrontilde,u_uni0304_uni0303,263
mcandrabindu,m_uni0310,264
FracSlash,fraction,265
DevInvCandrabindu,uni0900,266
DevInvCandrabindu.alt,uni0900.alt,267
DevCandrabindu,uni0901,268
DevCandrabindu.alt,uni0901.alt,269
DevAnusvara,uni0902,270
DevVisarga,uni0903,271
DevVisarga.alt,uni0903.alt,272
DevVowelShortA,uni0904,273
DevVowelShortANukta,uni0904093C,274
DevVowelA,uni0905,275
DevVowelANukta,uni0905093C,276
DevVowelA.archaic,uni0905.archaic,277
DevVowelAA,uni0906,278
DevVowelAANukta,uni0906093C,279
DevVowelAA.archaic,uni0906.archaic,280
DevVowelI,uni0907,281
DevVowelINukta,uni0907093C,282
DevVowelII,uni0908,283
DevVowelIICandrabindu,uni09080901,284
DevVowelIIBindu,uni09080902,285
DevVowelIINukta,uni0908093C,286
DevVowelU,uni0909,287
DevVowelUNukta,uni0909093C,288
DevVowelUU,uni090A,289
DevVowelUUNukta,uni090A093C,290
DevVowelR,uni090B,291
DevVowelRNukta,uni090B093C,292
DevVowelL,uni090C,293
DevVowelLNukta,uni090C093C,294
DevVowelCandraE,uni090D,295
DevVowelCandraENukta,uni090D093C,296
DevVowelShortE,uni090E,297
DevVowelShortENukta,uni090E093C,298
DevVowelE,uni090F,299
DevVowelENukta,uni090F093C,300
DevVowelAI,uni0910,301
DevVowelAINukta,uni0910093C,302
DevVowelCandraO,uni0911,303
DevVowelCandraONukta,uni0911093C,304
DevVowelShortO,uni0912,305
DevVowelShortONukta,uni0912093C,306
DevVowelO,uni0913,307
DevVowelONukta,uni0913093C,308
DevVowelO.archaic,uni0913.archaic,309
DevVowelAU,uni0914,310
DevVowelAUNukta,uni0914093C,311
DevVowelAU.archaic,uni0914.archaic,312
DevKa,uni0915,313
DevHalfKa,uni0915094D.half,314
DevK.Ka,uni0915094D0915,315
DevK.Ka.alt,uni0915094D0915.alt,316
DevK.Ta,uni0915094D0924,317
DevKaR,uni0915094D0930,318
DevKaR.alt,uni0915094D0930.alt,319
DevHalfKaR,uni0915094D0930094D.half,320
DevHalfKaR.alt,uni0915094D0930094D.half.alt,321
DevK.Ssa,uni0915094D0937,322
DevHalfK.Ssa,uni0915094D0937094D.half,323
DevK.Ssa.archaic,uni0915094D0937.archaic,324
DevHalfK.Ssa.archaic,uni0915094D0937094D.half.archaic,325
DevK.SsaR,uni0915094D0937094D0930,326
DevHalfK.SsaR,uni0915094D0937094D0930094D.half,327
DevKha,uni0916,328
DevHalfKha,uni0916094D.half,329
DevKhaR,uni0916094D0930,330
DevHalfKhaR,uni0916094D0930094D.half,331
DevGa,uni0917,332
DevHalfGa,uni0917094D.half,333
DevGaR,uni0917094D0930,334
DevHalfGaR,uni0917094D0930094D.half,335
DevGha,uni0918,336
DevGhaNukta,uni0918093C,337
DevHalfGhaNukta,uni0918093C094D.half,338
DevGhaNuktaR,uni0918093C094D0930,339
DevHalfGhaNuktaR,uni0918093C094D0930094D.half,340
DevHalfGha,uni0918094D.half,341
DevGhaR,uni0918094D0930,342
DevHalfGhaR,uni0918094D0930094D.half,343
DevNga,uni0919,344
DevNgaNukta,uni0919093C,345
DevHalfNgaNukta,uni0919093C094D.half,346
DevNgaNuktaR,uni0919093C094D0930,347
DevNgAaCndrbndRaAi,uni0919093E090109300948,348
DevHalfNga,uni0919094D.half,349
DevNg.Ka,uni0919094D0915,350
DevNg.Ka.alt,uni0919094D0915.alt,351
DevNg.Kha,uni0919094D0916,352
DevNg.Kha.alt,uni0919094D0916.alt,353
DevNg.Ga,uni0919094D0917,354
DevNg.Ga.alt,uni0919094D0917.alt,355
DevNg.Gha,uni0919094D0918,356
DevNg.Gha.alt,uni0919094D0918.alt,357
DevNg.Nga,uni0919094D0919,358
DevNg.Nga.alt,uni0919094D0919.alt,359
DevNgNga.Ya,uni0919094D0919094D092F,360
DevNgNga.HalfYa,uni0919094D0919094D092F094D.half,361
DevNgNga.YaRa,uni0919094D0919094D092F094D0930,362
DevNgNga.YaNukta,uni0919094D0919094D095F,363
DevNgNga.HalfYaNukta,uni0919094D0919094D095F094D.half,364
DevNgNga.YaNuktaRa,uni0919094D0919094D095F094D0930,365
